pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version,rtt_ms
1774801834625203000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,58,,,,16741.0,,,,,,0,0.1.1,16.741
1774801836557093000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,59,,,,12850.0,,,,,,0,0.1.1,12.85
1774801839249410000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,60,,,,14235.0,,,,,,0,0.1.1,14.235
1774801841541439000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,61,,,,25197.0,,,,,,0,0.1.1,25.197
1774801844507004000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,62,,,,17407.0,,,,,,0,0.1.1,17.407
1774801846500041000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,63,,,,35731.0,,,,,,0,0.1.1,35.731
1774801848314582000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,64,,,,17233.0,,,,,,0,0.1.1,17.233
1774801850468265000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,65,,,,13058.0,,,,,,0,0.1.1,13.058
1774801852005361000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,66,,,,42956.0,,,,,,0,0.1.1,42.956
1774801853319017000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,67,,,,23264.0,,,,,,0,0.1.1,23.264
1774801855796504000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,68,,,,12382.0,,,,,,0,0.1.1,12.382
