pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version
1774808955452510000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,78,button,646455505.0,-43.0,,,,,,,0,0.1.1
1774808960853721000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,79,button,651859568.0,-36.0,,,,,,,0,0.1.1
1774808966624235000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,80,button,657441990.0,-37.0,,,,,,,0,0.1.1
1774808972158704000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,81,button,663164380.0,-39.0,,,,,,,0,0.1.1
1774808978365705000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,82,button,669295273.0,-36.0,,,,,,,0,0.1.1
1774808985066859000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,83,button,676072485.0,-28.0,,,,,,,0,0.1.1
1774808990125340000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,84,button,681119569.0,-33.0,,,,,,,0,0.1.1
1774808994371488000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,85,button,685374448.0,-32.0,,,,,,,0,0.1.1
1774808998288425000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,86,button,689194446.0,-34.0,,,,,,,0,0.1.1
1774809007118532000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,87,button,698105143.0,-51.0,,,,,,,0,0.1.1
1774809013466375000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,88,button,704467460.0,-37.0,,,,,,,0,0.1.1
1774809019983455000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,89,button,710986914.0,-42.0,,,,,,,0,0.1.1
1774809026047762000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,90,button,716993181.0,-43.0,,,,,,,0,0.1.1
1774809030655901000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,91,button,721646421.0,-37.0,,,,,,,0,0.1.1
1774809035264803000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,92,button,726213754.0,-33.0,,,,,,,0,0.1.1
1774809039462391000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,93,button,730374450.0,-33.0,,,,,,,0,0.1.1
1774809044173479000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,94,button,734949578.0,-33.0,,,,,,,0,0.1.1
1774809049190607000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,95,button,740149225.0,-35.0,,,,,,,0,0.1.1
1774809054003065000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,96,button,744976927.0,-35.0,,,,,,,0,0.1.1
1774809059914307000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,97,button,750918050.0,-36.0,,,,,,,0,0.1.1
1774809064755475000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,98,button,755646345.0,-37.0,,,,,,,0,0.1.1
1774809068972099000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,99,button,759976503.0,-35.0,,,,,,,0,0.1.1
1774809073142897000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,100,button,764147216.0,-36.0,,,,,,,0,0.1.1
