pi_rx_time_ns,topic,type,node,protocol,exp,t_local_us,bus_v,current_mA,power_mW,wifi_rssi,mqtt_retain,pipeline_version
1776142557541345000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,35163506,5.045,64,324.8855,-28,0,0.2.1
1776142557941737000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,35563523,5.0475,63.80457,320,-28,0,0.2.1
1776142558042908000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,35663516,5.0425,64,324.8855,-28,0,0.2.1
1776142559141203000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,36763506,5.045,63.90229,320,-28,0,0.2.1
1776142559243012000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,36863529,5.04375,64,324.8855,-27,0,0.2.1
1776142559641341000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,37263503,5.045,63.80457,320,-28,0,0.2.1
1776142560340955000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,37963556,5.04375,64,324.8855,-27,0,0.2.1
1776142560641258000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,38263484,5.0475,64,324.8855,-27,0,0.2.1
1776142561041705000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,38663542,5.035,64,324.8855,-28,0,0.2.1
1776142562441545000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,40063447,5.04375,64,324.8855,-28,0,0.2.1
1776142563541561000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,41163490,5.04375,64,327.3282,-28,0,0.2.1
1776142563841616000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,41463503,5.0425,64,320,-28,0,0.2.1
1776142564541445000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,42163452,5.04375,64,327.3282,-28,0,0.2.1
1776142565843004000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,43463465,5.04375,64,312.6718,-28,0,0.2.1
1776142569241860000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,46863520,5.04375,64,327.3282,-28,0,0.2.1
1776142569841511000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,47463520,5.04375,64,324.8855,-34,0,0.2.1
1776142569941359000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,47563534,5.04375,64,324.8855,-28,0,0.2.1
1776142570243106000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,47863503,5.045,64,324.8855,-28,0,0.2.1
1776142570341514000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,47963530,4.88,72.8916,368.855,-28,0,0.2.1
1776142571246855000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,48863484,5.04375,63.90229,320,-28,0,0.2.1
