pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version
1776143146291197000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,261,periodic,261863974,-37,,,,,,,0,0.2.1
1776143147291206000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,262,periodic,262863972,-37,,,,,,,0,0.2.1
1776143148291159000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,263,periodic,263863924,-30,,,,,,,0,0.2.1
1776143149291143000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,264,periodic,264863938,-36,,,,,,,0,0.2.1
1776143150291213000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,265,periodic,265863942,-37,,,,,,,0,0.2.1
1776143151291171000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,266,periodic,266863980,-30,,,,,,,0,0.2.1
1776143152292978000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,267,periodic,267863908,-30,,,,,,,0,0.2.1
1776143153292731000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,268,periodic,268863949,-30,,,,,,,0,0.2.1
1776143154291187000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,269,periodic,269863947,-37,,,,,,,0,0.2.1
1776143155291523000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,270,periodic,270863981,-30,,,,,,,0,0.2.1
1776143156291778000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,271,periodic,271864219,-30,,,,,,,0,0.2.1
1776143157291502000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,272,periodic,272863954,-30,,,,,,,0,0.2.1
1776143158291662000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,273,periodic,273863927,-30,,,,,,,0,0.2.1
1776143159291553000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,274,periodic,274863944,-37,,,,,,,0,0.2.1
1776143160291666000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,275,periodic,275863940,-30,,,,,,,0,0.2.1
1776143161291619000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,276,periodic,276863950,-37,,,,,,,0,0.2.1
1776143162291554000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,277,periodic,277863912,-37,,,,,,,0,0.2.1
1776143163291559000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,278,periodic,278863930,-30,,,,,,,0,0.2.1
1776143164291592000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,279,periodic,279863971,-37,,,,,,,0,0.2.1
1776143165291665000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,280,periodic,280863930,-31,,,,,,,0,0.2.1
1776143166299095000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,281,periodic,281863928,-37,,,,,,,0,0.2.1
1776143167291070000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,282,periodic,282863959,-30,,,,,,,0,0.2.1
1776143168290570000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,283,periodic,283863818,-30,,,,,,,0,0.2.1
1776143169293540000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,284,periodic,284863166,-37,,,,,,,0,0.2.1
1776143170292476000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,285,periodic,285863191,-30,,,,,,,0,0.2.1
1776143171291432000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,286,periodic,286863391,-30,,,,,,,0,0.2.1
1776143172291768000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,287,periodic,287864116,-30,,,,,,,0,0.2.1
1776143173291549000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,288,periodic,288863959,-36,,,,,,,0,0.2.1
1776143174293749000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,289,periodic,289863938,-30,,,,,,,0,0.2.1
1776143175294130000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,290,periodic,290863944,-30,,,,,,,0,0.2.1
1776143176291186000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,291,periodic,291863978,-30,,,,,,,0,0.2.1
1776143177291578000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,292,periodic,292863895,-37,,,,,,,0,0.2.1
1776143178291746000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,293,periodic,293863976,-37,,,,,,,0,0.2.1
1776143179291644000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,294,periodic,294863922,-37,,,,,,,0,0.2.1
1776143180291844000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,295,periodic,295863919,-37,,,,,,,0,0.2.1
1776143181291701000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,296,periodic,296863942,-37,,,,,,,0,0.2.1
1776143182291852000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,297,periodic,297863933,-30,,,,,,,0,0.2.1
1776143183299692000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,298,periodic,298863924,-30,,,,,,,0,0.2.1
1776143184295051000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,299,periodic,299864832,-36,,,,,,,0,0.2.1
1776143185291987000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,300,periodic,300863966,-30,,,,,,,0,0.2.1
1776143186291959000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,301,periodic,301864273,-30,,,,,,,0,0.2.1
