pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version,rtt_ms
1774941008757244000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,80,,,,10325.0,,,,,,0,0.1.1,10.325
1774941011258039000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,81,,,,9992.0,,,,,,0,0.1.1,9.992
1774941013948659000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,82,,,,12026.0,,,,,,0,0.1.1,12.026
1774941016514139000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,83,,,,16940.0,,,,,,0,0.1.1,16.94
1774941018990033000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,84,,,,9446.0,,,,,,0,0.1.1,9.446
1774941021755666000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,85,,,,9390.0,,,,,,0,0.1.1,9.39
1774941024051267000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,86,,,,10571.0,,,,,,0,0.1.1,10.571
1774941026728083000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,87,,,,9959.0,,,,,,0,0.1.1,9.959
1774941029701605000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,88,,,,10133.0,,,,,,0,0.1.1,10.133
1774941032138165000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,89,,,,10060.0,,,,,,0,0.1.1,10.06
1774941035301253000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,90,,,,9961.0,,,,,,0,0.1.1,9.961
1774941037915964000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,91,,,,13974.0,,,,,,0,0.1.1,13.974
1774941039821301000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,92,,,,10252.0,,,,,,0,0.1.1,10.252
1774941041987181000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,93,,,,10297.0,,,,,,0,0.1.1,10.297
1774941044265815000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,94,,,,11607.0,,,,,,0,0.1.1,11.607
1774941047105314000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,95,,,,10327.0,,,,,,0,0.1.1,10.327
1774941049477194000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,96,,,,14844.0,,,,,,0,0.1.1,14.844
1774941051805462000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,97,,,,10496.0,,,,,,0,0.1.1,10.496
1774941053868202000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,98,,,,10218.0,,,,,,0,0.1.1,10.218
1774941056177281000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,99,,,,11531.0,,,,,,0,0.1.1,11.531
1774941058733479000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,100,,,,10028.0,,,,,,0,0.1.1,10.028
