pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version
1774940951471212000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,57,button,1154754382.0,-47.0,,,,,,,0,0.1.1
1774940954046280000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,58,button,1157334173.0,-39.0,,,,,,,0,0.1.1
1774940956248165000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,59,button,1159536541.0,-47.0,,,,,,,0,0.1.1
1774940958269935000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,60,button,1161558382.0,-48.0,,,,,,,0,0.1.1
1774940960621123000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,61,button,1163909295.0,-39.0,,,,,,,0,0.1.1
1774940962934333000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,62,button,1166222469.0,-39.0,,,,,,,0,0.1.1
1774940964980523000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,63,button,1168268669.0,-39.0,,,,,,,0,0.1.1
1774940967117517000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,64,button,1170405738.0,-47.0,,,,,,,0,0.1.1
1774940969421007000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,65,button,1172707704.0,-47.0,,,,,,,0,0.1.1
1774940971711418000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,66,button,1174999669.0,-39.0,,,,,,,0,0.1.1
1774940974391480000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,67,button,1177679665.0,-47.0,,,,,,,0,0.1.1
1774940977186191000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,68,button,1180472278.0,-47.0,,,,,,,0,0.1.1
1774940979746332000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,69,button,1183032790.0,-47.0,,,,,,,0,0.1.1
1774940982512244000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,70,button,1185792651.0,-39.0,,,,,,,0,0.1.1
