pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pi_time_s,ha_time_s,raw_delay_ms,norm_delay_ms,pipeline_version
1774617711332407000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:21:51.265359+02:00,01KMQQAMK2670MB8Z6MG2NKPXV,01KMQQAMK2670MB8Z6MG2NKPXV,0,1774617711.332407,1774617711.265359,67.0480728149414,96.92597389221191,0.1.1
1774617714832068000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:21:54.861946+02:00,01KMQQAR3C8YQVKG7NPM9S71RT,01KMQQAR3C8YQVKG7NPM9S71RT,0,1774617714.8320682,1774617714.861946,-29.877901077270508,0.0,0.1.1
1774617718515162000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:21:58.545504+02:00,01KMQQAVPPTRGKHT7N62NSMZV6,01KMQQAVPPTRGKHT7N62NSMZV6,0,1774617718.5151622,1774617718.545504,-30.34186363220215,-0.4639625549316406,0.1.1
1774617721974309000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:22:01.998724+02:00,01KMQQAZ2GD962F43T10P3BJ0Y,01KMQQAZ2GD962F43T10P3BJ0Y,0,1774617721.9743092,1774617721.998724,-24.414777755737305,5.463123321533203,0.1.1
1774617725737190000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:22:05.770073+02:00,01KMQQB2RFYGMJBKDPRJPRDFF2,01KMQQB2RFYGMJBKDPRJPRDFF2,0,1774617725.7371898,1774617725.770073,-32.8831672668457,-3.0052661895751953,0.1.1
1774617729635652000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:22:09.670369+02:00,01KMQQB6JEBGRTR53JPJA2N94D,01KMQQB6JEBGRTR53JPJA2N94D,0,1774617729.635652,1774617729.670369,-34.71684455871582,-4.8389434814453125,0.1.1
1774617733260918000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:22:13.293590+02:00,01KMQQBA3M03SSGF0KV9825R69,01KMQQBA3M03SSGF0KV9825R69,0,1774617733.260918,1774617733.29359,-32.67216682434082,-2.7942657470703125,0.1.1
1774617737270783000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:22:17.289576+02:00,01KMQQBE0FCF9S5Q5MP94NSHMA,01KMQQBE0FCF9S5Q5MP94NSHMA,0,1774617737.270783,1774617737.289576,-18.793106079101562,11.084794998168945,0.1.1
1774617740821806000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:22:20.853526+02:00,01KMQQBHFX0APNP8FD2567YAN1,01KMQQBHFX0APNP8FD2567YAN1,0,1774617740.8218062,1774617740.853526,-31.71992301940918,-1.8420219421386719,0.1.1
1774617744538160000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:22:24.573628+02:00,01KMQQBN45PEV81GZHSCYBV4EY,01KMQQBN45PEV81GZHSCYBV4EY,0,1774617744.53816,1774617744.573628,-35.46786308288574,-5.589962005615234,0.1.1
1774617748610197000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:22:28.641959+02:00,01KMQQBS2YC4RE9JRKVZ348B74,01KMQQBS2YC4RE9JRKVZ348B74,0,1774617748.610197,1774617748.641959,-31.761884689331055,-1.8839836120605469,0.1.1
1774617752310398000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:22:32.321348+02:00,01KMQQBWP8VSCRWRGGM82V4M7J,01KMQQBWP8VSCRWRGGM82V4M7J,0,1774617752.3103979,1774617752.321348,-10.950088500976562,18.927812576293945,0.1.1
1774617755937533000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:22:35.970133+02:00,01KMQQC086833TP8G4QB09YF06,01KMQQC086833TP8G4QB09YF06,0,1774617755.937533,1774617755.970133,-32.60016441345215,-2.7222633361816406,0.1.1
1774617759628985000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:22:39.660269+02:00,01KMQQC3VKNS832T2FRAGK039X,01KMQQC3VKNS832T2FRAGK039X,0,1774617759.6289852,1774617759.660269,-31.283855438232422,-1.405954360961914,0.1.1
1774617763312714000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:22:43.346236+02:00,01KMQQC7EJ98XXKDJJYQCBJZ3W,01KMQQC7EJ98XXKDJJYQCBJZ3W,0,1774617763.312714,1774617763.346236,-33.52189064025879,-3.6439895629882812,0.1.1
1774617767123067000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:22:47.152866+02:00,01KMQQCB5NRSQAJ9E7EZC3GDZX,01KMQQCB5NRSQAJ9E7EZC3GDZX,0,1774617767.123067,1774617767.152866,-29.79898452758789,0.07891654968261719,0.1.1
1774617770864252000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:22:50.895105+02:00,01KMQQCETKT9R5R9DER8W1D1RT,01KMQQCETKT9R5R9DER8W1D1RT,0,1774617770.8642519,1774617770.895105,-30.8530330657959,-0.9751319885253906,0.1.1
1774617774745221000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:22:54.771994+02:00,01KMQQCJKRD3FA34EE15HB7YEG,01KMQQCJKRD3FA34EE15HB7YEG,0,1774617774.7452211,1774617774.771994,-26.77297592163086,3.1049251556396484,0.1.1
1774617778506056000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:22:58.534123+02:00,01KMQQCP9EXWZ39M77MFYZT2B5,01KMQQCP9EXWZ39M77MFYZT2B5,0,1774617778.5060558,1774617778.534123,-28.06711196899414,1.8107891082763672,0.1.1
1774617782144971000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:23:02.177962+02:00,01KMQQCSV7W98S87WE2XDP1C1Q,01KMQQCSV7W98S87WE2XDP1C1Q,0,1774617782.144971,1774617782.177962,-32.99117088317871,-3.113269805908203,0.1.1
