pi_rx_time_ns,address,name,rssi,company_id,version,node_num,exp_code,seq,t_local_us,raw_hex,pipeline_version
1777727646110873000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-74,4660,2,1,W3BL,15,46335003,02015733424c0f0000001b04c302,0.4.6
1777727649056074000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-75,4660,2,1,W3BL,16,49237003,02015733424c100000000b4cef02,0.4.6
1777727652085556000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-76,4660,2,1,W3BL,17,52257004,02015733424c11000000ec601d03,0.4.6
1777727655058337000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-74,4660,2,1,W3BL,18,55095004,02015733424c12000000dcae4803,0.4.6
1777727658392128000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-75,4660,2,1,W3BL,19,58344004,02015733424c1300000044427a03,0.4.6
1777727661094592000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-75,4660,2,1,W3BL,20,61267003,02015733424c140000003bdca603,0.4.6
1777727664352412000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-75,4660,2,1,W3BL,21,64394003,02015733424c150000001393d603,0.4.6
1777727667077268000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-75,4660,2,1,W3BL,22,67205003,02015733424c160000008b770104,0.4.6
1777727670085838000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-75,4660,2,1,W3BL,23,70306003,02015733424c17000000d3c83004,0.4.6
1777727673392757000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-75,4660,2,1,W3BL,24,73438003,02015733424c1800000033936004,0.4.6
1777727676098987000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-74,4660,2,1,W3BL,25,76225004,02015733424c19000000ec198b04,0.4.6
1777727679386480000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-74,4660,2,1,W3BL,26,79391003,02015733424c1a0000001b69bb04,0.4.6
1777727682396283000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-75,4660,2,1,W3BL,27,82617004,02015733424c1b000000aca2ec04,0.4.6
1777727685686870000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-74,4660,2,1,W3BL,28,85641003,02015733424c1c0000002bc71a05,0.4.6
1777727688381517000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-74,4660,2,1,W3BL,29,88467003,02015733424c1d0000003be64505,0.4.6
1777727691083086000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-74,4660,2,1,W3BL,30,91220003,02015733424c1e00000023e86f05,0.4.6
1777727694398915000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-75,4660,2,1,W3BL,31,94440004,02015733424c1f000000440aa105,0.4.6
