pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version,rtt_ms
1774872092320402000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,66,,,,13405.0,,,,,,0,0.1.1,13.405
1774872095976300000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,67,,,,47284.0,,,,,,0,0.1.1,47.284
1774872099673114000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,68,,,,48379.0,,,,,,0,0.1.1,48.379
1774872103460099000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,69,,,,13524.0,,,,,,0,0.1.1,13.524
1774872107127169000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,70,,,,25196.0,,,,,,0,0.1.1,25.196
1774872110903814000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,71,,,,23910.0,,,,,,0,0.1.1,23.91
1774872114921621000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,72,,,,16128.0,,,,,,0,0.1.1,16.128
1774872129322740000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,75,,,,13967.0,,,,,,0,0.1.1,13.967
1774872134898535000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,76,,,,16487.0,,,,,,0,0.1.1,16.487
1774872138862120000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,77,,,,28736.0,,,,,,0,0.1.1,28.736
1774872142708464000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,78,,,,13487.0,,,,,,0,0.1.1,13.487
1774872146735634000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,79,,,,11803.0,,,,,,0,0.1.1,11.803
1774872157438363000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,81,,,,15020.0,,,,,,0,0.1.1,15.02
1774872161081463000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,82,,,,12479.0,,,,,,0,0.1.1,12.479
1774872166217473000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,83,,,,12846.0,,,,,,0,0.1.1,12.846
1774872170420744000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,84,,,,13249.0,,,,,,0,0.1.1,13.249
1774872174101813000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,85,,,,14146.0,,,,,,0,0.1.1,14.146
1774872178187043000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,86,,,,58724.0,,,,,,0,0.1.1,58.724
1774872182227626000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,87,,,,15670.0,,,,,,0,0.1.1,15.67
1774872186405675000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,88,,,,13721.0,,,,,,0,0.1.1,13.721
1774872190379709000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,89,,,,13304.0,,,,,,0,0.1.1,13.304
1774872194016607000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,90,,,,16336.0,,,,,,0,0.1.1,16.336
1774872197854678000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,91,,,,35681.0,,,,,,0,0.1.1,35.681
1774872201386800000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,92,,,,15321.0,,,,,,0,0.1.1,15.321
1774872205011750000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,93,,,,18458.0,,,,,,0,0.1.1,18.458
1774872212781843000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,95,,,,132834.0,,,,,,0,0.1.1,132.834
1774872216584978000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,96,,,,21940.0,,,,,,0,0.1.1,21.94
1774872219780127000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,97,,,,37646.0,,,,,,0,0.1.1,37.646
1774872223473033000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,98,,,,13389.0,,,,,,0,0.1.1,13.389
1774872226966301000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,99,,,,13679.0,,,,,,0,0.1.1,13.679
1774872230759184000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,100,,,,13550.0,,,,,,0,0.1.1,13.55
