type,seq,exp,t_local_us,bus_v,shunt_mV,current_mA,power_mW,wifi_rssi
power_sample,88,W2_wifi_periodic_1s_quiet_ctrl_v1,10980508,5.047500,13.452499,65.367935,327.328247,-25
power_sample,89,W2_wifi_periodic_1s_quiet_ctrl_v1,11080473,5.047500,5.050000,65.270226,327.328247,-25
power_sample,90,W2_wifi_periodic_1s_quiet_ctrl_v1,11180492,5.047500,5.760000,65.270226,327.328247,-24
power_sample,91,W2_wifi_periodic_1s_quiet_ctrl_v1,11280430,5.047500,6.555000,65.270226,332.213715,-25
power_sample,92,W2_wifi_periodic_1s_quiet_ctrl_v1,11380422,5.047500,5.165000,65.367935,332.213715,-25
power_sample,93,W2_wifi_periodic_1s_quiet_ctrl_v1,11480473,5.047500,5.465000,65.270226,327.328247,-25
power_sample,94,W2_wifi_periodic_1s_quiet_ctrl_v1,11580417,5.047500,6.237500,65.270226,315.114502,-25
power_sample,95,W2_wifi_periodic_1s_quiet_ctrl_v1,11680466,5.007500,4.917500,65.758774,332.213715,-25
power_sample,96,W2_wifi_periodic_1s_quiet_ctrl_v1,11780476,5.047500,4.945000,65.367935,327.328247,-25
power_sample,97,W2_wifi_periodic_1s_quiet_ctrl_v1,11880488,5.047500,5.867500,65.270226,327.328247,-25
power_sample,98,W2_wifi_periodic_1s_quiet_ctrl_v1,11980410,5.046250,13.250000,65.270226,683.969421,-25
power_sample,99,W2_wifi_periodic_1s_quiet_ctrl_v1,12080430,5.047500,5.137500,65.465645,332.213715,-25
power_sample,100,W2_wifi_periodic_1s_quiet_ctrl_v1,12180492,5.047500,5.615000,65.563362,332.213715,-25
power_sample,101,W2_wifi_periodic_1s_quiet_ctrl_v1,12280450,5.047500,6.410000,65.270226,324.885498,-25
power_sample,102,W2_wifi_periodic_1s_quiet_ctrl_v1,12380473,5.047500,4.997500,65.465645,332.213715,-25
power_sample,103,W2_wifi_periodic_1s_quiet_ctrl_v1,12480473,5.047500,5.065000,65.465645,332.213715,-25
power_sample,104,W2_wifi_periodic_1s_quiet_ctrl_v1,12580417,5.047500,5.847500,65.465645,332.213715,-25
power_sample,105,W2_wifi_periodic_1s_quiet_ctrl_v1,12680461,5.043750,4.977500,65.661064,332.213715,-25
power_sample,106,W2_wifi_periodic_1s_quiet_ctrl_v1,12780492,5.051250,5.127500,65.563362,332.213715,-25
power_sample,107,W2_wifi_periodic_1s_quiet_ctrl_v1,12880413,5.047500,5.580000,65.465645,332.213715,-25
power_sample,108,W2_wifi_periodic_1s_quiet_ctrl_v1,12980435,4.886250,14.807500,110.509918,727.938904,-25
power_sample,109,W2_wifi_periodic_1s_quiet_ctrl_v1,13080413,5.047500,5.042500,65.465645,332.213715,-25
power_sample,110,W2_wifi_periodic_1s_quiet_ctrl_v1,13180492,5.047500,5.255000,65.563362,332.213715,-25
power_sample,111,W2_wifi_periodic_1s_quiet_ctrl_v1,13280430,5.048750,6.007500,65.465645,332.213715,-25
power_sample,112,W2_wifi_periodic_1s_quiet_ctrl_v1,13380443,5.047500,5.065000,65.367935,332.213715,-25
power_sample,113,W2_wifi_periodic_1s_quiet_ctrl_v1,13480413,5.051250,5.092500,65.270226,327.328247,-25
power_sample,114,W2_wifi_periodic_1s_quiet_ctrl_v1,13580435,5.048750,5.712500,65.465645,332.213715,-25
power_sample,115,W2_wifi_periodic_1s_quiet_ctrl_v1,13680461,5.046250,6.505000,65.563362,327.328247,-25
power_sample,116,W2_wifi_periodic_1s_quiet_ctrl_v1,13780492,5.047500,5.137500,65.367935,332.213715,-25
power_sample,117,W2_wifi_periodic_1s_quiet_ctrl_v1,13880413,5.048750,5.262500,65.465645,332.213715,-24
power_sample,118,W2_wifi_periodic_1s_quiet_ctrl_v1,13980445,4.888750,13.610000,148.616791,669.312927,-24
power_sample,119,W2_wifi_periodic_1s_quiet_ctrl_v1,14080473,5.047500,4.995000,65.074806,327.328247,-25
power_sample,120,W2_wifi_periodic_1s_quiet_ctrl_v1,14180417,5.050000,5.020000,65.367935,327.328247,-24
power_sample,121,W2_wifi_periodic_1s_quiet_ctrl_v1,14280488,5.047500,5.737500,65.465645,332.213715,-25
power_sample,122,W2_wifi_periodic_1s_quiet_ctrl_v1,14380481,5.047500,5.092500,65.563362,327.328247,-25
power_sample,123,W2_wifi_periodic_1s_quiet_ctrl_v1,14480430,5.047500,5.100000,65.074806,327.328247,-25
power_sample,124,W2_wifi_periodic_1s_quiet_ctrl_v1,14580492,5.050000,5.405000,65.367935,327.328247,-26
power_sample,125,W2_wifi_periodic_1s_quiet_ctrl_v1,14680404,5.047500,6.150000,65.465645,312.671753,-25
power_sample,126,W2_wifi_periodic_1s_quiet_ctrl_v1,14780417,5.047500,4.895000,64.977097,327.328247,-25
power_sample,127,W2_wifi_periodic_1s_quiet_ctrl_v1,14880430,5.050000,4.875000,65.074806,327.328247,-23
power_sample,128,W2_wifi_periodic_1s_quiet_ctrl_v1,14980462,4.897500,9.887500,139.920609,683.969421,-22
power_sample,129,W2_wifi_periodic_1s_quiet_ctrl_v1,15080430,5.047500,5.057500,65.465645,327.328247,-23
power_sample,130,W2_wifi_periodic_1s_quiet_ctrl_v1,15180492,5.053750,5.002500,64.683968,327.328247,-23
power_sample,131,W2_wifi_periodic_1s_quiet_ctrl_v1,15280444,5.050000,5.452500,65.367935,327.328247,-25
power_sample,132,W2_wifi_periodic_1s_quiet_ctrl_v1,15380465,5.048750,6.402500,65.367935,324.885498,-24
power_sample,133,W2_wifi_periodic_1s_quiet_ctrl_v1,15480430,5.048750,4.955000,64.781670,327.328247,-25
power_sample,134,W2_wifi_periodic_1s_quiet_ctrl_v1,15580435,5.048750,5.027500,64.977097,327.328247,-26
power_sample,135,W2_wifi_periodic_1s_quiet_ctrl_v1,15680449,5.050000,5.877500,65.074806,327.328247,-28
power_sample,136,W2_wifi_periodic_1s_quiet_ctrl_v1,15780492,5.050000,5.055000,64.390839,327.328247,-28
power_sample,137,W2_wifi_periodic_1s_quiet_ctrl_v1,15880413,5.053750,5.020000,64.683968,327.328247,-27
power_sample,138,W2_wifi_periodic_1s_quiet_ctrl_v1,15980412,5.031250,5.587500,129.563339,652.213745,-28
power_sample,139,W2_wifi_periodic_1s_quiet_ctrl_v1,16080450,5.050000,6.420000,64.977097,324.885498,-35
power_sample,140,W2_wifi_periodic_1s_quiet_ctrl_v1,16180435,5.048750,4.997500,64.390839,324.885498,-35
power_sample,141,W2_wifi_periodic_1s_quiet_ctrl_v1,16280427,5.031250,13.660000,64.683968,324.885498,-28
