pi_rx_time_ns,topic,type,node,protocol,exp,t_local_us,bus_v,current_mA,power_mW,wifi_rssi,mqtt_retain,pipeline_version
1776100479638616000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,9108522,5.04625,64.58626,327.3282,-27,0,0.2.1
1776100479738578000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,9208530,5.04875,64.78167,327.3282,-28,0,0.2.1
1776100479838421000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,9308479,5.04375,64.78167,327.3282,-28,0,0.2.1
1776100479938755000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,9408471,5.04375,64.58626,327.3282,-28,0,0.2.1
1776100480039923000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,9508507,5.045,64.78167,327.3282,-28,0,0.2.1
1776100480139427000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,9608485,5.045,64.68397,327.3282,-27,0,0.2.1
1776100480242044000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,9708461,5.04375,64.58626,307.7863,-28,0,0.2.1
1776100480344671000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,9808513,5.04375,64.9771,327.3282,-28,0,0.2.1
1776100480438250000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,9908477,5.045,64.78167,327.3282,-27,0,0.2.1
1776100480538432000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,10008482,4.96625,141.7771,703.5114,-28,0,0.2.1
1776100480639602000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,10108546,5.045,64.58626,327.3282,-28,0,0.2.1
1776100480742150000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,10208489,5.045,64.9771,327.3282,-27,0,0.2.1
1776100480837501000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,10308523,4.86625,147.8351,720.6107,-28,0,0.2.1
1776100480938457000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,10408457,5.04375,64.78167,320,-28,0,0.2.1
1776100481038426000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,10508459,5.04375,65.17252,327.3282,-28,0,0.2.1
1776100481138387000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,10608485,5.04375,64.9771,327.3282,-27,0,0.2.1
1776100481238559000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,10708546,5.045,64.87939,307.7863,-27,0,0.2.1
1776100481339530000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,10808533,5.045,65.17252,327.3282,-27,0,0.2.1
1776100481438197000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,10908490,5.04625,64.9771,327.3282,-28,0,0.2.1
