pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,mqtt_retain
1774613820175682000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,37,button,151447088,-37,,,,,0
1774613820190311000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,37,,,,16476,,,,0
1774613823465047000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,38,button,154735405,-36,,,,,0
1774613823504718000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,38,,,,14193,,,,0
1774613826850598000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,39,button,158122086,-39,,,,,0
1774613826869448000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,39,,,,15478,,,,0
1774613830195027000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,40,button,161465239,-38,,,,,0
1774613830222432000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,40,,,,18687,,,,0
1774613833492807000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,41,button,164711546,-38,,,,,0
1774613833576194000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,41,,,,109019,,,,0
1774613836698194000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,42,button,167970125,-39,,,,,0
1774613836710261000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,42,,,,12440,,,,0
1774613840105151000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,43,button,171377633,-37,,,,,0
1774613840118277000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,43,,,,11931,,,,0
1774613840285071000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,44,button,171556776,-37,,,,,0
1774613840297867000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,44,,,,13792,,,,0
1774613843313963000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,45,button,174585682,-38,,,,,0
1774613843330263000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,45,,,,16882,,,,0
1774613846484841000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,46,button,177756344,-38,,,,,0
1774613846505982000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,46,,,,12323,,,,0
1774613849637759000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,47,button,180882935,-32,,,,,0
1774613849653541000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,47,,,,42790,,,,0
1774613852683652000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,48,button,183931542,-39,,,,,0
1774613852696455000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,48,,,,38023,,,,0
1774613855865193000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,49,button,187134770,-39,,,,,0
1774613855880213000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,49,,,,15795,,,,0
1774613858904292000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,50,button,190176118,-39,,,,,0
1774613858919632000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,50,,,,15447,,,,0
