type,seq,exp,t_local_us,bus_v,shunt_mV,current_mA,power_mW,wifi_rssi
power_sample,135,W2_wifi_idle_quiet_ctrl_v1,15680412,4.880000,14.410000,147.346558,708.396912,-24
power_sample,136,W2_wifi_idle_quiet_ctrl_v1,15780489,5.050000,4.995000,64.683968,327.328247,-24
power_sample,137,W2_wifi_idle_quiet_ctrl_v1,15880422,5.050000,5.000000,64.390839,324.885498,-24
power_sample,138,W2_wifi_idle_quiet_ctrl_v1,15980468,4.880000,14.130000,142.265640,691.297729,-24
power_sample,139,W2_wifi_idle_quiet_ctrl_v1,16080450,5.050000,5.160000,63.999996,327.328247,-23
power_sample,140,W2_wifi_idle_quiet_ctrl_v1,16180489,5.052500,5.052500,64.586258,327.328247,-23
power_sample,141,W2_wifi_idle_quiet_ctrl_v1,16280422,4.892500,13.590000,76.506866,376.183197,-24
power_sample,142,W2_wifi_idle_quiet_ctrl_v1,16380468,5.050000,6.452500,64.097710,327.328247,-24
power_sample,143,W2_wifi_idle_quiet_ctrl_v1,16480450,5.050000,5.070000,64.781670,327.328247,-24
power_sample,144,W2_wifi_idle_quiet_ctrl_v1,16580446,5.048750,5.112500,64.390839,324.885498,-24
power_sample,145,W2_wifi_idle_quiet_ctrl_v1,16680499,5.048750,6.130000,64.195419,312.671753,-24
power_sample,146,W2_wifi_idle_quiet_ctrl_v1,16780483,5.050000,5.175000,64.879387,327.328247,-24
power_sample,147,W2_wifi_idle_quiet_ctrl_v1,16880429,5.050000,5.172500,64.293121,324.885498,-24
power_sample,148,W2_wifi_idle_quiet_ctrl_v1,16980418,5.047500,5.735000,64.195419,324.885498,-24
power_sample,149,W2_wifi_idle_quiet_ctrl_v1,17080493,4.871250,14.815000,145.490067,725.496155,-24
power_sample,150,W2_wifi_idle_quiet_ctrl_v1,17180447,4.891250,13.457500,139.236633,681.526733,-24
power_sample,151,W2_wifi_idle_quiet_ctrl_v1,17280459,4.882500,12.929999,147.541992,720.610657,-24
power_sample,152,W2_wifi_idle_quiet_ctrl_v1,17380426,5.048750,6.242500,64.195419,315.114502,-24
power_sample,153,W2_wifi_idle_quiet_ctrl_v1,17480488,5.050000,5.037500,65.172516,327.328247,-25
power_sample,154,W2_wifi_idle_quiet_ctrl_v1,17580464,5.050000,5.072500,64.683968,327.328247,-23
power_sample,155,W2_wifi_idle_quiet_ctrl_v1,17680480,5.048750,5.940000,64.293121,324.885498,-24
