pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain
1774617795218511000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:23:15.182032+02:00,01KMQQD6HCZFMJYJD2GTRDEQT3,01KMQQD6HCZFMJYJD2GTRDEQT3,0
1774617798900437000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:23:18.935352+02:00,01KMQQDA6W7G76WTVV5NKDKJRW,01KMQQDA6W7G76WTVV5NKDKJRW,0
1774617803190036000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:23:23.205399+02:00,01KMQQDEC7W8Z8XKM4RSBW7QQ3,01KMQQDEC7W8Z8XKM4RSBW7QQ3,0
1774617808890691000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:23:27.749484+02:00,01KMQQDJTDGXYFPZ856WDZ8HXN,01KMQQDJTDGXYFPZ856WDZ8HXN,0
1774617812370475000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:23:32.403132+02:00,01KMQQDQBSTCMN0J4G50FG41G6,01KMQQDQBSTCMN0J4G50FG41G6,0
1774617816333675000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:23:36.362776+02:00,01KMQQDV7CP0RMT4RN4PJHZX1W,01KMQQDV7CP0RMT4RN4PJHZX1W,0
1774617820380783000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:23:40.382297+02:00,01KMQQDZ50DTVDQ92AHY7EKD5R,01KMQQDZ50DTVDQ92AHY7EKD5R,0
1774617824073313000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:23:44.103123+02:00,01KMQQE2SCYVY8QWH5HV1C9ZX3,01KMQQE2SCYVY8QWH5HV1C9ZX3,0
1774617827606038000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:23:47.637782+02:00,01KMQQE67YJB247BYPRP5F4HFB,01KMQQE67YJB247BYPRP5F4HFB,0
1774617831436598000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:23:51.469534+02:00,01KMQQE9ZKYYBMWVM6XRJZNME7,01KMQQE9ZKYYBMWVM6XRJZNME7,0
1774617835388741000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:23:55.418204+02:00,01KMQQEDTZ0NQM5YD6C5TBKV17,01KMQQEDTZ0NQM5YD6C5TBKV17,0
1774617839257899000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:23:59.258501+02:00,01KMQQEHJZAVVA9E6ZEVY5XZ3A,01KMQQEHJZAVVA9E6ZEVY5XZ3A,0
1774617843016477000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:24:03.047815+02:00,01KMQQEN9C522CQHB5R1EM3YPA,01KMQQEN9C522CQHB5R1EM3YPA,0
1774617846757928000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:24:06.752718+02:00,01KMQQERX6HBGEMSNDNDH5DR4M,01KMQQERX6HBGEMSNDNDH5DR4M,0
1774617850548354000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:24:10.579568+02:00,01KMQQEWMSKXAKJ4S7NSSDR5BT,01KMQQEWMSKXAKJ4S7NSSDR5BT,0
1774617854272238000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:24:14.304898+02:00,01KMQQF096BH1B8NXDD6QCD2K6,01KMQQF096BH1B8NXDD6QCD2K6,0
1774617857796373000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:24:17.829120+02:00,01KMQQF3QA1S24K1R18CS7EYWE,01KMQQF3QA1S24K1R18CS7EYWE,0
1774617861593984000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:24:21.623593+02:00,01KMQQF7DS1YAKV015VV2MCSBT,01KMQQF7DS1YAKV015VV2MCSBT,0
