pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time
1774608806333671000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,30,button,895823745,-29,,,,
1774608806347255000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,30,,,,31929,,,
1774608808556390000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,31,button,898063422,-35,,,,
1774608808599874000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,31,,,,45264,,,
1774608810853367000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,32,button,900340678,-28,,,,
1774608810872339000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,32,,,,36890,,,
1774608813483815000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,33,button,902987897,-29,,,,
1774608813502121000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,33,,,,21672,,,
1774608816097525000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,34,button,905601582,-28,,,,
1774608816109972000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,34,,,,17986,,,
1774608818547598000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,35,button,908044141,-26,,,,
1774608818559599000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,35,,,,25428,,,
1774608820421540000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,36,button,909927268,-27,,,,
1774608820435514000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,36,,,,16300,,,
1774608822796309000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,37,button,912304834,-30,,,,
1774608822811456000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,37,,,,13735,,,
1774608825340716000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,38,button,914849709,-35,,,,
1774608825354789000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,38,,,,13096,,,
1774608827633768000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,39,button,917142728,-35,,,,
1774608827646166000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,39,,,,11987,,,
1774608829852238000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,40,button,919347078,-28,,,,
1774608829867881000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,40,,,,30490,,,
1774608832242483000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,41,button,921745041,-29,,,,
1774608832256724000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,41,,,,21528,,,
1774608834714486000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,42,button,924219811,-26,,,,
1774608834726046000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,42,,,,16757,,,
1774608837279156000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,43,button,926786694,-29,,,,
1774608837292177000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,43,,,,14875,,,
1774608839567699000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,44,button,929063182,-30,,,,
1774608839586077000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,44,,,,26386,,,
1774608841826310000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,45,button,931335263,-29,,,,
1774608841838072000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,45,,,,12312,,,
